,"Author: Souza, Givago Silva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 18 (Of the 111 documents considered for the h-index, 18 have been cited at least 18 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2012,"Temporal evolution of exposure to mercury in riverside communities in the Tapajós Basin, from 1994 to 2010",00074861,"Bulletin of Environmental Contamination and Toxicology","89","1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,2,1,0,1,0,0,0,0,1,14,0,14
2012,"Comparison of the reliability of multifocal visual evoked cortical potentials generated by pattern reversal and pattern pulse stimulation",0100879X,"Brazilian Journal of Medical and Biological Research","45","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,5,0,5
2012,"Visual dysfunction of type i and VI mucopolysaccharidosis patients evaluated with visual evoked cortical potential",16632699,"Case Reports in Ophthalmology","3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4,0,4
2011,"Pesticide residues in some commodities: Dietary risk for children",00074861,"Bulletin of Environmental Contamination and Toxicology","86","5",0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,1,0,1,1,1,3,0,1,0,16,0,16
2011,"Retinal disorders in northern Brazilian patients treated with chloroquine assessed by multifocal ERG",00124486,"Documenta Ophthalmologica","122","2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2010,"Cone contrast influence on components of the pattern onset/offset VECP",02755408,"Ophthalmic and Physiological Optics","30","5",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,0,0,0,0,1,1,0,10,0,10
2009,"Dengue maculopathy: Visual electrophysiology and optical coherence tomography",00124486,"Documenta Ophthalmologica","119","2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,5,0,5
2008,"Color discrimination ellipses of trichromats measured with transient and steady state visual evoked potentials",09525238,"Visual Neuroscience","25","3",0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,1,0,0,0,1,0,1,0,9,0,9
2008,"Amplitude of the transient visual evoked potential (tVEP) as a function of achromatic and chromatic contrast: Contribution of different visual pathways",09525238,"Visual Neuroscience","25","3",0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,2,1,1,2,1,2,4,1,0,2,4,0,29,0,29
2008,"Mercury toxicity in Amazon gold miners: Visual dysfunction assessed by retinal and cortical electrophysiology",00139351,"Environmental Research","107","1",0,0,0,0,0,0,0,0,2,6,4,2,2,1,0,4,3,2,2,1,2,2,0,2,0,0,0,35,0,35
2007,"Spatial luminance contrast sensitivity measured with transient VEP: Comparison with psychophysics and evidence of multiple mechanisms",01460404,"Investigative Ophthalmology and Visual Science","48","7",0,0,0,0,0,0,0,0,3,2,4,2,1,7,3,2,2,2,3,2,1,0,3,1,2,5,2,47,0,47
2006,"Normal and dichromatic color discrimination measured with transient visual evoked potential",09525238,"Visual Neuroscience","23","3-4",0,0,0,0,0,0,1,0,4,0,1,0,1,3,0,1,1,0,0,2,0,3,0,1,1,1,0,20,0,20
